Number of parameters: 4
Number of responses: 0
index                     perm4                  perm5                  perm6                  kmult
1         5.948413207613205e-15  4.876795759078958e-15  7.403128077631174e-15      1.205122279069289
2         3.519173370592962e-15  3.688979282889949e-15  9.671940968212764e-15     0.8989350036177193
3         8.170044659387039e-15  9.434897253398153e-15  8.732625216383332e-15      1.495382371209588
4         8.059721696232899e-15  3.132834577557775e-15  5.830678060031844e-15      1.970958334775394
5         3.669407251136455e-15  7.243174694255146e-15  6.529163857509644e-15      1.679670051695662
6         4.846879166985392e-15  6.954344509991542e-15  9.856588973235553e-15      1.943253177200535
7         8.211333917174314e-16  3.814319348776004e-15  3.350141214439829e-15      1.834992027992294
8         6.040026796057362e-15  2.003930373564118e-15  8.097149113435717e-15      1.867487475920383
9          3.70754538810427e-15  1.992805378015496e-15  8.354109022888296e-15      1.846348191212292
10        7.182118643555273e-15  5.346072613939069e-15  8.524698904378401e-15       1.55848103011056
11        4.181191131261524e-15  9.817322282376947e-15  9.986549237332602e-16      1.289012609555992
12        6.369353262665961e-15  4.769590926200444e-15  3.037022099404892e-15      1.825479778594638
13         3.10272695280637e-15  7.604214548963996e-15  5.072482008741385e-15      1.324108093573856
14        6.141302396858392e-15  2.900489077941066e-15  4.863524949290089e-15        1.5412120657083
15        2.450110192530818e-15   2.05014974177192e-15  3.900803717045612e-15     0.6684425907728132
16        7.876925811174537e-15  5.517971414045367e-16  2.080421490662987e-15      1.194466395178719
17        9.793888084939431e-15  4.306044354005482e-16  5.142769295310056e-15      1.958268778397085
18        7.637720314018716e-15   8.97292558612587e-15   6.43468906816257e-16     0.9187904742259517
19        5.130460841777727e-16   8.09736043152183e-15  8.589607311273699e-15     0.8297714399569511
20        9.244975354018086e-15  8.740306817078966e-15  1.871430350101254e-15        1.3576357396069
21        5.324769177596552e-15  6.256469432365786e-15  2.866878002788065e-15      1.891662304912116
22        1.860690762742407e-15   6.34853594709609e-15  2.129844799486249e-15      1.775776676695857
23        2.893127504332237e-15  4.970556873945548e-15   5.79214980533155e-16      1.980158046172764
24        7.886568661439857e-16  7.118997441188051e-15  1.031985524061194e-16      1.310941625585995
25         3.31440512324119e-15  1.346173847885059e-15  9.580870586831691e-15     0.9258540041464055
26          7.0584219591955e-15  2.846383490764563e-15  3.760046718858602e-15      1.215269343661774
27        5.440236581022625e-15  4.246521140407815e-15   6.69330229797662e-15     0.6826986407994824
28        8.624231460074357e-15  9.752552384021325e-15   6.79347747676306e-15     0.5508139336983601
29        6.315648126812942e-15  3.780498425261676e-15  2.653520949000971e-15      1.759698388040228
30        7.732903881380784e-15  6.216282269211721e-15  8.313154881189329e-15      1.362596870849031
31        9.139772246063967e-15  7.275436014090401e-16  4.371255894949549e-15     0.6762611048132685
32        9.589818798147868e-15  8.864374846440034e-15  9.351666929943196e-15      1.429503286942585
33        5.350852442632419e-15  3.289549975313879e-15  7.341929950903253e-15      1.947551042227289
34        4.942276053102285e-15  1.381535073611676e-15  9.843390308235757e-15     0.5621122425171783
35        1.908524645571637e-15  9.011553650447909e-15  4.154866764126149e-15       0.91030310233846
36        1.968696354130898e-15  3.095410006072106e-15  1.821732825949637e-15      0.787680770137172
37        1.440452101708929e-15  4.692077775986878e-15  4.120732226675752e-15     0.8041878719074931
38        4.041252270386367e-15  6.188173857419584e-15  3.530418606752011e-15       1.81834826856684
39        1.678287153816618e-15   2.43849625151396e-15    5.4418303325123e-15      1.154723367006011
40        8.283633891934438e-15  9.624176128153714e-15  8.849062402958077e-15     0.7076212625932864
41        6.613344171263209e-15  1.858095823935098e-15  2.790788878403042e-15      1.803576255518199
42        8.379717503556363e-15  9.713066502455431e-15    9.5205259025067e-15       1.57975832308992
43        1.203962000055841e-15   9.85140309950928e-15  8.753838588019851e-16      1.528717168666981
44        6.283603971170241e-15  5.725375377846257e-15  9.067527054775262e-15      1.023330208375099
45        6.583899980542943e-15  8.356218856140649e-15   8.97507501993307e-15     0.9707139204109063
46        8.561434778089515e-15  4.292551482264367e-15  6.550612380104344e-15       1.76098137558866
47        5.995905058005201e-15  7.862767953219514e-15  2.637676729819265e-15      1.659810947916033
48        5.515414604599013e-15  1.817203957306328e-15  5.361548267424857e-15     0.6520115775478388
49         6.84637063012406e-15  9.330242064134366e-16  6.099767989007691e-15     0.5736834324262192
50        8.669634441084135e-15  9.290011899336757e-15  1.814568998309092e-16      1.298435968399734
51        9.417513765000949e-15  9.800986154165696e-16  4.641780499041851e-16     0.8922769864004082
52         1.13515451249789e-15  4.067977748054477e-15  6.298482957617881e-15      0.859354051294814
53        3.281375011068379e-15  8.945968155501174e-16  8.451457386712803e-15      1.381600329689016
54        7.993366291585792e-15  5.070256694739541e-15  3.959830483522487e-15      1.082232441711709
55        8.871215790578057e-16  1.142745456845204e-15  1.922128062362257e-15      1.908681838346871
56        3.233802995294982e-15  7.383926777779076e-15  1.459436371424636e-15      1.631371373511163
57        6.478631076497404e-15  6.743092379072707e-15  2.300729952098061e-15      1.104119872346519
58        8.908224297995147e-15  9.127076343622298e-15  1.131731233429889e-15      1.615844462878446
59        2.997894402383821e-15  5.379088933961101e-15  4.724004879174923e-15      1.607339455796622
60         5.19214167081438e-15  3.377393810867589e-15  6.828972791619259e-15     0.8205793683971863
61        2.248524463850593e-15  2.770446003401812e-15  2.161510318862225e-15     0.7017507927388589
62        5.071889371584671e-15  5.043477040670219e-15  4.407461862012331e-15      1.546169258461108
63        1.266853689011793e-15  6.354020330016653e-17  4.937770235482398e-15      1.392836242662223
64        1.826760829340199e-16  2.616686312883904e-15  7.594145637877539e-15     0.7638880459561395
65        3.405000299126678e-15  3.475845012327419e-15  7.101559963169837e-15      1.431162217477965
66        6.766816566747278e-15  8.661473989414032e-15  8.646396114314875e-15       1.58524441343736
67        8.324684767758868e-15  3.944597260068038e-15    1.6509232822138e-15      1.089857674466198
68        2.629931948712369e-15  3.307981503709864e-15   7.67965901752458e-15      1.340877208045277
69        5.131509326747593e-15  8.214726741827369e-15   7.22003519240233e-15     0.8333522453257912
70        9.504112988689125e-15  5.808200809793672e-15  8.256349798637756e-15     0.7301451018622787
71        7.005733121399349e-15  5.271785610074738e-15  1.078686143445948e-15       1.38742765215552
72        3.000217027968578e-15  9.505866869573461e-15  3.464423240310832e-15      1.513376687538169
73        2.446941975654351e-16  8.412511810055682e-15  5.472902303736125e-15      1.278414894185368
74        2.193557586989327e-15  2.222757884363379e-15  2.720212990925118e-15      1.793082165702067
75        1.758599379648403e-15  5.873960140593439e-15  1.766879901357084e-17       1.12968011699153
76        4.525659739262614e-15  5.602571753716589e-15  5.958464476182461e-15      1.595608404875732
